,Method,Feature Descriptor,k-cluster,Max Accuracy,Max Precision,Max Sensitivity,Max Specificity,Max F1-score,Max AUC,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
0,SVM,sift,128,1,1,1,1,1,1,0.84682,0.81162,0.80416,1,0.78917,0.80416,0.841762977,0.851887817,0.802204415,0.821049554,0.795671597,0.812661736,0.867248685,0.882751315,0.780244079,0.798110393,0.795671597,0.812661736
1,SVM,sift,256,1,1,1,1,1,1,0.85555,0.84526,0.84583,1,0.84118,0.84583,0.847520437,0.863590674,0.836647977,0.853874001,0.837417216,0.854249451,0.866911516,0.883088484,0.832465086,0.849903871,0.837417216,0.854249451
2,SVM,sift,32,1,1,1,1,1,1,0.81349,0.80802,0.70833,1,0.71968,0.70833,0.810628715,0.816355412,0.799075925,0.816968031,0.702672574,0.713994093,0.963238906,0.970094427,0.712993284,0.726370538,0.702672574,0.713994093
3,SVM,sift,512,1,1,1,1,1,1,0.84523,0.8296,0.80416,1,0.80816,0.80416,0.841920207,0.848555983,0.823636922,0.835580527,0.799683991,0.808649343,0.90404085,0.912625817,0.80314339,0.813192342,0.799683991,0.808649343
4,SVM,sift,64,1,1,1,1,1,1,0.87777,0.88769,0.86666,1,0.8568,0.86666,0.872054466,0.883501089,0.882356914,0.893032696,0.859469112,0.873864221,0.893144479,0.906855521,0.849861596,0.863750686,0.859469112,0.873864221
5,SVM,surf,128,1,1,1,1,1,1,0.8873,0.86794,0.83333,1,0.83286,0.83333,0.881588442,0.893014733,0.856540027,0.879357409,0.824457787,0.84220888,0.963238906,0.970094427,0.822552892,0.843178709,0.824457787,0.84220888
6,SVM,surf,256,1,1,1,1,1,1,0.80952,0.7777,0.75416,1,0.74045,0.75416,0.802888033,0.816159586,0.766448445,0.789011586,0.744818554,0.763514779,0.919604927,0.930395073,0.730046056,0.750855359,0.744818554,0.763514779
7,SVM,surf,64,1,1,1,1,1,1,0.89841,0.89885,0.9,1,0.88484,0.9,0.892325973,0.904499424,0.893334531,0.904376092,0.894555656,0.905444344,0.890813975,0.909186025,0.878619774,0.89107485,0.894555656,0.905444344
8,SVM,surf100,128,1,1,1,1,1,1,0.92222,0.91125,0.92,1,0.91462,0.92,0.919466199,0.924978245,0.908122307,0.91438019,0.921986831,0.928013169,0.913398425,0.919934908,0.911624692,0.917626839,0.921986831,0.928013169
9,SVM,surf100,256,1,1,1,1,1,1,0.89786,0.88484,0.9034,1,0.88045,0.9034,0.894573696,0.9011528,0.880908641,0.888784998,0.883135302,0.891107122,0.9206157,0.927869149,0.876806674,0.884094541,0.883135302,0.891107122
10,SVM,surf100,64,1,1,1,1,1,1,0.90128,0.89317,0.92424,1,0.88996,0.92424,0.897653456,0.904910647,0.876786255,0.884837121,0.921217924,0.927266925,0.860366246,0.869936785,0.885827123,0.894101717,0.921217924,0.927266925
11,SVM,surf50,128,1,1,1,1,1,1,0.8923,0.88668,0.8784,1,0.87052,0.8784,0.888804447,0.895810937,0.882395703,0.89097426,0.86579475,0.875114341,0.937575331,0.94424285,0.866529995,0.874515945,0.86579475,0.875114341
12,SVM,surf50,256,1,1,1,1,1,1,0.92222,0.92034,0.912,1,0.9117,0.912,0.918386001,0.926058444,0.916127635,0.924561676,0.907958144,0.917041856,0.937630687,0.945702647,0.907337114,0.916069783,0.907958144,0.917041856
13,SVM,surf50,512,1,1,1,1,1,1,0.86794,0.84917,0.8784,1,0.85268,0.8784,0.859930529,0.875966907,0.841038678,0.85731297,0.870132852,0.88668533,0.848447585,0.865188779,0.844147503,0.861231104,0.870132852,0.88668533
14,SVM,surf50,64,1,1,1,1,1,1,0.9,0.89712,0.8909,1,0.88764,0.8909,0.894707647,0.905292353,0.89112188,0.903136361,0.881716737,0.893283263,0.919604927,0.930395073,0.88181583,0.89347653,0.881716737,0.893283263
15,SVM,surf0,1024,1,1,1,1,1,1,0.87222,0.87065,0.87007,1,0.8498,0.87007,0.8668741,0.877570345,0.864735072,0.876576949,0.847209649,0.861123684,0.90293826,0.913728407,0.843038115,0.856569719,0.847209649,0.861123684
16,SVM,surf0,128,1,1,1,1,1,1,0.88675,0.88289,0.89583,1,0.87115,0.89583,0.87271464,0.882840915,0.86781302,0.878217616,0.891034191,0.900632476,0.834948861,0.848384473,0.865859345,0.876444134,0.891034191,0.900632476
17,SVM,surf0,256,1,1,1,1,1,1,0.8923,0.88067,0.90795,1,0.88148,0.90795,0.888804447,0.895810937,0.877043712,0.884311599,0.905197133,0.910711958,0.859729965,0.872088216,0.877997719,0.884966476,0.905197133,0.910711958
18,SVM,surf0,512,1,1,1,1,1,1,0.8935,0.87892,0.88257,1,0.8701,0.88257,0.889884543,0.897294945,0.87287111,0.884986033,0.876943334,0.888208182,0.893337846,0.903631851,0.864315943,0.875894498,0.876943334,0.888208182
19,SVM,surf0,64,1,1,1,1,1,1,0.87008,0.87045,0.89545,1,0.85938,0.89545,0.866434205,0.873736735,0.855186882,0.860072858,0.89259662,0.898312471,0.817975526,0.830509322,0.85599516,0.862773949,0.89259662,0.898312471
20,SVM,orb,128,1,1,1,1,1,1,0.79841,0.80754,0.72916,1,0.7289,0.72916,0.79178715,0.805038247,0.799807127,0.815280359,0.720577812,0.737755521,0.902464133,0.914202534,0.720223249,0.737592257,0.720577812,0.737755521
21,SVM,orb,256,1,1,1,1,1,1,0.73174,0.56678,0.62083,1,0.56826,0.62083,0.726244542,0.737247522,0.551680149,0.581891279,0.611775381,0.629891286,0.953569094,0.963097573,0.557160131,0.579377269,0.611775381,0.629891286
22,SVM,orb,64,1,1,1,1,1,1,0.78888,0.78911,0.77083,1,0.76362,0.77083,0.77954276,0.798235017,0.77959689,0.798624888,0.76201438,0.779652287,0.813808958,0.836191042,0.753515969,0.773734997,0.76201438,0.779652287
23,SVM,brisk,128,1,1,1,1,1,1,0.71764,0.53647,0.537,0.99166,0.49102,0.537,0.714073079,0.721221038,0.521569094,0.551372082,0.532847776,0.542152224,0.971691158,0.978308842,0.48404091,0.498006162,0.532847776,0.542152224
24,SVM,brisk,256,1,1,1,1,1,1,0.72352,0.48974,0.547,1,0.49716,0.547,0.719198035,0.727860789,0.47569669,0.503792106,0.54087002,0.55412998,0.972631934,0.977368066,0.48778447,0.506543839,0.54087002,0.55412998
25,SVM,brisk,64,1,1,1,1,1,1,0.72352,0.64008,0.55333,1,0.52537,0.55333,0.719863541,0.727195282,0.624462834,0.655708735,0.548523353,0.558143314,0.964135098,0.969198235,0.518379938,0.5323681,0.548523353,0.558143314
26,SVM,kaze,128,1,1,1,1,1,1,0.84572,0.83848,0.837,1,0.81227,0.837,0.842023191,0.849429801,0.833222116,0.843752576,0.8332623,0.8417377,0.867601204,0.882398796,0.807834219,0.816708372,0.8332623,0.8417377
27,SVM,kaze,256,1,1,1,1,1,1,0.80341,0.81854,0.7,1,0.73989,0.7,0.79778852,0.809049087,0.812324434,0.824771738,0.742691991,0.757308009,0.909001962,0.924331372,0.733380021,0.746407915,0.742691991,0.757308009
28,SVM,kaze,64,1,1,1,1,1,1,0.78589,0.74599,0.72,1,0.7094,0.72,0.779816862,0.79197801,0.733889371,0.758106966,0.714587689,0.735412311,0.839979762,0.860020238,0.698483714,0.720417052,0.714587689,0.735412311
29,SVM,akaze,128,1,1,1,1,1,1,0.7397,0.63716,0.577,1,0.54907,0.577,0.735350572,0.744061192,0.621218135,0.653106094,0.571238737,0.583761263,0.971691158,0.978308842,0.540259011,0.55789475,0.571238737,0.583761263
30,SVM,akaze,256,1,1,1,1,1,1,0.7397,0.6535,0.577,1,0.55253,0.577,0.73732614,0.742085625,0.63986852,0.667134281,0.57349024,0.58150976,0.972631934,0.977368066,0.546066147,0.559006622,0.57349024,0.58150976
31,SVM,akaze,64,1,1,1,1,1,1,0.73382,0.72187,0.58,1,0.5781,0.58,0.730499086,0.737147973,0.710654701,0.733095299,0.580998573,0.589001427,0.94657224,0.95342776,0.572845494,0.583493537,0.580998573,0.589001427
32,DecisionTree,sift,128,1,1,1,1,1,1,0.83174,0.82676,0.787,0.7875,0.79189,0.787,0.782480784,0.7946462,0.754862611,0.770434336,0.743503595,0.758413072,0.84108011,0.854086556,0.738059659,0.752862605,0.743503595,0.758413072
33,DecisionTree,sift,256,1,1,1,1,1,1,0.82222,0.80467,0.8,0.89166,0.79491,0.8,0.76425549,0.779236573,0.739637517,0.757314752,0.727219012,0.744114321,0.825654502,0.841678832,0.721256369,0.738194011,0.727219012,0.744114321
34,DecisionTree,sift,64,1,1,1,1,1,1,0.83888,0.82896,0.80833,0.9,0.81195,0.80833,0.792183302,0.804864317,0.776549918,0.791951361,0.755896968,0.770603032,0.847998418,0.861668249,0.752990186,0.767539565,0.755896968,0.770603032
35,DecisionTree,surf,128,1,1,1,1,1,1,0.88412,0.85962,0.86666,0.9,0.85905,0.86666,0.762850942,0.775577629,0.73340392,0.749573647,0.71645175,0.73154825,0.825398153,0.84093518,0.711359797,0.726708048,0.71645175,0.73154825
36,DecisionTree,surf,256,1,1,1,1,1,1,0.83333,0.8265,0.812,0.87,0.81199,0.812,0.751313207,0.764528063,0.720983946,0.737062123,0.714263872,0.730152795,0.824738418,0.838428249,0.70357472,0.719039887,0.714263872,0.730152795
37,DecisionTree,surf,64,1,1,1,1,1,1,0.83571,0.81715,0.812,0.87,0.80078,0.812,0.79660312,0.808619102,0.775376512,0.789908692,0.769581175,0.784168825,0.847919941,0.861580059,0.75784547,0.772402214,0.769581175,0.784168825
38,DecisionTree,surf100,128,1,1,1,1,1,1,0.83034,0.81615,0.82765,0.89166,0.80388,0.82765,0.783973188,0.796428521,0.759458222,0.774635636,0.750227193,0.765666746,0.842036526,0.854751353,0.743134415,0.758258441,0.750227193,0.765666746
39,DecisionTree,surf100,256,1,1,1,1,1,1,0.80683,0.79504,0.7909,0.89015,0.77287,0.7909,0.762913031,0.775035686,0.735240428,0.750343149,0.724880574,0.739339123,0.827814018,0.841292043,0.717662186,0.731991366,0.724880574,0.739339123
40,DecisionTree,surf100,64,1,1,1,1,1,1,0.8423,0.83802,0.81628,0.92424,0.81128,0.81628,0.781872609,0.793366707,0.751791968,0.766764132,0.740557409,0.755207742,0.843297666,0.856232637,0.735148555,0.7498307,0.740557409,0.755207742
41,DecisionTree,surf50,128,1,1,1,1,1,1,0.7935,0.77649,0.76174,0.88181,0.75505,0.76174,0.739645287,0.75170514,0.705918256,0.721379721,0.690633508,0.705275583,0.825209557,0.838275291,0.684894231,0.699427541,0.690633508,0.705275583
42,DecisionTree,surf50,256,1,1,1,1,1,1,0.77564,0.77612,0.73712,0.85757,0.73552,0.73712,0.734080811,0.746987565,0.697343544,0.71383777,0.686146433,0.702171749,0.812892862,0.826410169,0.679198488,0.695025537,0.686146433,0.702171749
43,DecisionTree,surf50,512,1,1,1,1,1,1,0.75897,0.71891,0.71628,0.8553,0.71106,0.71628,0.703816317,0.7172777,0.660307186,0.677412643,0.649726443,0.665515981,0.787417681,0.802400501,0.643802355,0.659674416,0.649726443,0.665515981
44,DecisionTree,surf50,64,1,1,1,1,1,1,0.8145,0.79237,0.79962,0.87,0.7887,0.79962,0.754477532,0.76691563,0.722697081,0.738455864,0.708899516,0.723759575,0.826771793,0.839879723,0.70441128,0.71930341,0.708899516,0.723759575
45,DecisionTree,surf0,1024,1,1,1,1,1,1,0.77008,0.74587,0.73295,0.8553,0.72544,0.73295,0.684134858,0.69764292,0.639075079,0.656132143,0.632432638,0.648718877,0.774199514,0.789103516,0.622096286,0.638075196,0.632432638,0.648718877
46,DecisionTree,surf0,128,1,1,1,1,1,1,0.81025,0.79198,0.76969,0.88181,0.76471,0.76969,0.763247171,0.776137444,0.732450906,0.748565538,0.722172908,0.737766486,0.82640037,0.839811751,0.716923243,0.732312234,0.722172908,0.737766486
47,DecisionTree,surf0,256,1,1,1,1,1,1,0.78803,0.78285,0.74924,0.88333,0.74552,0.74924,0.717821936,0.731374646,0.682451958,0.698925037,0.674217504,0.690100678,0.792464562,0.807838468,0.664809252,0.680443264,0.674217504,0.690100678
48,DecisionTree,surf0,512,1,1,1,1,1,1,0.78034,0.74943,0.74886,0.84924,0.7427,0.74886,0.715881635,0.728579904,0.680333327,0.696456865,0.669931174,0.685470341,0.79129083,0.806178867,0.661009319,0.676531152,0.669931174,0.685470341
49,DecisionTree,surf0,64,1,1,1,1,1,1,0.829,0.81653,0.81174,0.89166,0.798,0.81174,0.768595114,0.780199758,0.738737723,0.754077109,0.725794932,0.740091432,0.831497379,0.845275348,0.720090211,0.734602375,0.725794932,0.740091432
50,DecisionTree,orb,128,1,1,1,1,1,1,0.7912,0.75602,0.75416,0.87,0.75297,0.75416,0.736627688,0.749451677,0.700358276,0.716953289,0.687072555,0.702510779,0.813039603,0.826793731,0.681393281,0.696703292,0.687072555,0.702510779
51,DecisionTree,orb,256,1,1,1,1,1,1,0.81507,0.81323,0.77916,0.86666,0.77808,0.77916,0.743768166,0.756358818,0.713487415,0.728916924,0.706047511,0.721202489,0.810099189,0.825400811,0.694008606,0.708858096,0.706047511,0.721202489
52,DecisionTree,orb,64,1,1,1,1,1,1,0.83095,0.83002,0.79166,0.86,0.79491,0.79166,0.757074945,0.770306007,0.735074983,0.75217435,0.712340855,0.728075812,0.830693313,0.846806687,0.705766881,0.722271465,0.712340855,0.728075812
53,DecisionTree,brisk,128,1,1,1,1,1,1,0.78235,0.7506,0.74666,0.86666,0.74146,0.74666,0.723725658,0.736980224,0.676658574,0.694350701,0.662811994,0.678921339,0.808271845,0.822394822,0.657905333,0.674274481,0.662811994,0.678921339
54,DecisionTree,brisk,256,1,1,1,1,1,1,0.7647,0.72793,0.69583,0.87,0.69388,0.69583,0.70252025,0.715009162,0.655168543,0.672533281,0.634371705,0.648544962,0.796712276,0.813121057,0.627672055,0.642523532,0.634371705,0.648544962
55,DecisionTree,brisk,64,1,1,1,1,1,1,0.78235,0.75567,0.76416,0.8,0.74974,0.76416,0.735696757,0.748538537,0.691157738,0.708602258,0.682003748,0.697746252,0.80961692,0.82388308,0.674493188,0.690563714,0.682003748,0.697746252
56,DecisionTree,kaze,128,1,1,1,1,1,1,0.79017,0.7808,0.77916,0.89166,0.749,0.77916,0.730643845,0.742193762,0.693114428,0.70740908,0.694763168,0.710236832,0.792687169,0.806979498,0.674953199,0.68872135,0.694763168,0.710236832
57,DecisionTree,kaze,256,1,1,1,1,1,1,0.77222,0.75723,0.7,0.86666,0.74765,0.7,0.719933779,0.733117503,0.681244112,0.696837995,0.677483791,0.693849542,0.799167103,0.814499564,0.660856748,0.675775868,0.677483791,0.693849542
58,DecisionTree,kaze,64,1,1,1,1,1,1,0.78461,0.75144,0.75833,0.88333,0.74079,0.75833,0.730972129,0.74400223,0.6853395,0.703450781,0.666982839,0.685100494,0.803631115,0.818535552,0.663761634,0.681294335,0.666982839,0.685100494
59,DecisionTree,akaze,128,1,1,1,1,1,1,0.75661,0.74306,0.72265,0.84924,0.7085,0.72265,0.721430901,0.734929393,0.681672446,0.698768123,0.666107955,0.681417803,0.79887169,0.815779825,0.658612757,0.674492356,0.666107955,0.681417803
60,DecisionTree,akaze,256,1,1,1,1,1,1,0.78461,0.75144,0.75833,0.88333,0.74079,0.75833,0.730972129,0.74400223,0.6853395,0.703450781,0.666982839,0.685100494,0.803631115,0.818535552,0.663761634,0.681294335,0.666982839,0.685100494
61,DecisionTree,akaze,64,1,1,1,1,1,1,0.79227,0.77666,0.74212,0.88181,0.738,0.74212,0.730619315,0.741961568,0.689859441,0.705665063,0.670742383,0.68469095,0.815058384,0.828608282,0.665722535,0.67977859,0.670742383,0.68469095
62,ExtraTreeClassifier,sift,128,1,1,1,1,1,1,0.89832,0.89802,0.89583,0.91666,0.89067,0.89583,0.862214738,0.872102722,0.85414844,0.866289697,0.836789522,0.847793811,0.88359351,0.896573156,0.836082193,0.847329716,0.836789522,0.847793811
63,ExtraTreeClassifier,sift,256,1,1,1,1,1,1,0.86507,0.86247,0.84583,0.92,0.84507,0.84583,0.828677119,0.843926056,0.819512054,0.836385055,0.792193167,0.808640166,0.882243835,0.896756165,0.798080815,0.814670457,0.792193167,0.808640166
64,ExtraTreeClassifier,sift,64,1,1,1,1,1,1,0.90555,0.90817,0.90833,0.93333,0.89522,0.90833,0.874923753,0.884981008,0.873029728,0.883497561,0.867140256,0.878943077,0.886807208,0.899026125,0.858658587,0.870129643,0.867140256,0.878943077
65,ExtraTreeClassifier,surf100,128,1,1,1,1,1,1,0.96333,0.92516,0.92,0.96666,0.92434,0.96,0.905388569,0.913859294,0.895977923,0.905177614,0.893218571,0.90359961,0.928893552,0.935409478,0.891946143,0.901811342,0.893218571,0.90359961
66,ExtraTreeClassifier,surf100,256,1,1,1,1,1,1,0.90341,0.90036,0.89128,0.97,0.88567,0.89128,0.873310538,0.880971513,0.865276345,0.875269126,0.847173281,0.857622173,0.917896003,0.926694906,0.846085525,0.855511256,0.847173281,0.857622173
67,ExtraTreeClassifier,surf100,64,1,1,1,1,1,1,0.92008,0.9283,0.91174,0.97,0.89964,0.91174,0.888785212,0.896214788,0.849800727,0.864795943,0.866184779,0.881625827,0.896791159,0.90149672,0.854803498,0.869928178,0.866184779,0.881625827
68,ExtraTreeClassifier,surf50,128,1,1,1,1,1,1,0.88333,0.88843,0.84583,0.97,0.85725,0.84583,0.848986778,0.858243991,0.844908241,0.85621878,0.808659922,0.820582502,0.930242277,0.937909238,0.815146862,0.826515808,0.808659922,0.820582502
69,ExtraTreeClassifier,surf50,256,1,1,1,1,1,1,0.90128,0.89692,0.88257,0.98333,0.87874,0.88257,0.845363108,0.856303559,0.846669303,0.859688526,0.792724398,0.808146814,0.935730061,0.943345697,0.798536061,0.813540466,0.792724398,0.808146814
70,ExtraTreeClassifier,surf50,512,1,1,1,1,1,1,0.8423,0.87379,0.81628,1,0.81125,0.81628,0.811794725,0.826094164,0.779061331,0.799433162,0.760951988,0.779828315,0.895844884,0.905715722,0.760307326,0.779667254,0.760951988,0.779828315
71,ExtraTreeClassifier,surf50,64,1,1,1,1,1,1,0.9,0.90399,0.887,0.95833,0.884,0.887,0.871281142,0.882436807,0.871341359,0.884534066,0.842081358,0.854501975,0.923839832,0.934993501,0.849554506,0.862067855,0.842081358,0.854501975
72,ExtraTreeClassifier,surf0,1024,1,1,1,1,1,1,0.86666,0.89552,0.82,0.99166,0.83059,0.82,0.822844498,0.834608494,0.828203114,0.8421111,0.767223708,0.782745989,0.931965522,0.940307205,0.775037775,0.790806633,0.767223708,0.782745989
73,ExtraTreeClassifier,surf0,128,1,1,1,1,1,1,0.90555,0.90697,0.89166,0.95833,0.89273,0.89166,0.878363746,0.890012322,0.86758873,0.881753727,0.84969658,0.86355342,0.917167984,0.926998683,0.85450812,0.868217431,0.84969658,0.86355342
74,ExtraTreeClassifier,surf0,256,1,1,1,1,1,1,0.90626,0.91294,0.88333,0.95833,0.8823,0.88333,0.860448027,0.869090435,0.875306592,0.8846434,0.823387555,0.835104869,0.919072555,0.93057896,0.82792778,0.838739792,0.823387555,0.835104869
