,Method,Feature Descriptor,k-cluster,Max Accuracy,Max Precision,Max Sensitivity,Max Specificity,Max F1-score,Max AUC,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
75,ExtraTreeClassifier,surf0,512,1,1,1,1,1,1,0.89017,0.90091,0.84924,0.98333,0.8487,0.84924,0.836352235,0.846921269,0.809800954,0.828428641,0.76714869,0.784836158,0.930090057,0.93787964,0.773972513,0.792212368,0.76714869,0.784836158
76,ExtraTreeClassifier,surf0,64,1,1,1,1,1,1,0.89572,0.89536,0.88295,0.93333,0.87429,0.88295,0.871784219,0.881113217,0.853475426,0.867420359,0.843543238,0.855949186,0.893536605,0.90811491,0.839249514,0.852813997,0.843543238,0.855949186
77,ExtraTreeClassifier,orb,128,1,1,1,1,1,1,0.86666,0.85954,0.84583,0.92,0.84872,0.84583,0.830507257,0.842619727,0.820227806,0.833809284,0.808053552,0.821446448,0.873177022,0.885489645,0.80773853,0.821183459,0.808053552,0.821446448
78,ExtraTreeClassifier,orb,256,1,1,1,1,1,1,0.8261,0.82502,0.80416,0.91666,0.79212,0.80416,0.792266412,0.802892318,0.778428097,0.789992782,0.757481618,0.771268382,0.859940992,0.873559008,0.748413344,0.760971679,0.757481618,0.771268382
79,ExtraTreeClassifier,orb,64,1,1,1,1,1,1,0.87142,0.87113,0.87916,0.91666,0.85647,0.87916,0.840189707,0.853842039,0.833207468,0.848436669,0.83869514,0.85155486,0.854679577,0.872153756,0.819211332,0.834267973,0.83869514,0.85155486
80,ExtraTreeClassifier,brisk,128,1,1,1,1,1,1,0.81764,0.80957,0.7,0.93333,0.76385,0.7,0.781122242,0.791465993,0.747533889,0.761327349,0.710155917,0.723777416,0.88048403,0.890182637,0.715565334,0.729213287,0.710155917,0.723777416
81,ExtraTreeClassifier,brisk,256,1,1,1,1,1,1,0.78823,0.80305,0.717,0.93333,0.7291,0.717,0.757789884,0.767033646,0.756049246,0.771704581,0.66143683,0.67461317,0.890966151,0.903533849,0.66042667,0.673657045,0.66143683,0.67461317
82,ExtraTreeClassifier,brisk,64,1,1,1,1,1,1,0.81176,0.79678,0.767,0.90833,0.77217,0.767,0.776288012,0.788535518,0.74808356,0.765752707,0.711826928,0.727106405,0.866048921,0.878617746,0.712720315,0.728792,0.711826928,0.727106405
83,ExtraTreeClassifier,kaze,128,1,1,1,1,1,1,0.83675,0.84901,0.80416,0.92,0.79034,0.80416,0.805517378,0.813901425,0.811389202,0.820889515,0.762464048,0.774619285,0.891669804,0.905496863,0.751173141,0.760446485,0.762464048,0.774619285
84,ExtraTreeClassifier,kaze,256,1,1,1,1,1,1,0.82564,0.85076,0.78333,0.93333,0.779,0.78333,0.778541526,0.788894371,0.780086078,0.793730571,0.71465561,0.72784439,0.906334578,0.918665422,0.713040386,0.724710786,0.71465561,0.72784439
85,ExtraTreeClassifier,kaze,64,1,1,1,1,1,1,0.83589,0.8218,0.77,0.91666,0.78617,0.77,0.798186881,0.81049688,0.782681796,0.802674914,0.722701872,0.741631461,0.883456208,0.898543792,0.735572064,0.754377726,0.722701872,0.741631461
86,ExtraTreeClassifier,akaze,128,1,1,1,1,1,1,0.81727,0.83029,0.75962,0.93333,0.76689,0.75962,0.792788305,0.803932283,0.757096133,0.777455306,0.722403486,0.737138938,0.889815272,0.905669576,0.717544308,0.734950823,0.722403486,0.737138938
87,ExtraTreeClassifier,akaze,256,1,1,1,1,1,1,0.82867,0.81833,0.78583,0.9,0.79197,0.78583,0.801159272,0.81254661,0.773963325,0.78872469,0.754180836,0.767555528,0.86832701,0.879945717,0.756670243,0.770387701,0.754180836,0.767555528
88,ExtraTreeClassifier,akaze,64,1,1,1,1,1,1,0.84007,0.8491,0.782,0.9,0.79,0.782,0.803995502,0.812247145,0.806766199,0.818703365,0.727621816,0.739678184,0.912705058,0.922294942,0.733519616,0.746190044,0.727621816,0.739678184
89,LogisticRegression,sift,128,1,1,1,1,1,1,0.80238,0.7862,0.81666,0.99166,0.75827,0.81666,0.767184678,0.775672465,0.782790558,0.789627857,0.814031726,0.819301607,0.691603736,0.708396264,0.753899196,0.762654072,0.814031726,0.819301607
90,LogisticRegression,sift,256,1,1,1,1,1,1,0.84841,0.8842,0.82916,1,0.79462,0.82916,0.793075578,0.806924422,0.809384356,0.821794188,0.823691753,0.83464158,0.731215958,0.752117376,0.787781151,0.801472438,0.823691753,0.83464158
91,LogisticRegression,sift,64,1,1,1,1,1,1,0.84841,0.8842,0.82916,1,0.79462,0.82916,0.793075578,0.806924422,0.809384356,0.821794188,0.823691753,0.83464158,0.731215958,0.752117376,0.787781151,0.801472438,0.823691753,0.83464158
92,LogisticRegression,surf,128,1,1,1,1,1,1,0.78571,0.77738,0.88363,1,0.75824,0,0.769055764,0.781737886,0.77062199,0.784139915,0.793587248,0.806412752,0.707958168,0.725375165,0.750756544,0.76573721,0.793587248,0.806412752
93,LogisticRegression,surf,256,1,1,1,1,1,1,0.80396,0.82171,0.81666,0.99166,0.75035,0.81666,0.757007962,0.766801562,0.772653367,0.779092665,0.812468535,0.820864798,0.659358657,0.673974676,0.745387757,0.755326529,0.812468535,0.820864798
94,LogisticRegression,surf,64,1,1,1,1,1,1,0.85396,0.8755,0.87083,0.99166,0.82483,0.87083,0.827595081,0.842246189,0.835912334,0.847420999,0.866440922,0.875225745,0.781527215,0.801806118,0.817116313,0.832559012,0.866440922,0.875225745
95,LogisticRegression,surf100,128,1,1,1,1,1,1,0.85897,0.84477,0.86212,1,0.84302,0.86212,0.853695558,0.86425316,0.839741574,0.849814703,0.856845681,0.867396743,0.850646592,0.864504923,0.837822033,0.848229705,0.856845681,0.867396743
96,LogisticRegression,surf100,256,1,1,1,1,1,1,0.84017,0.83675,0.80757,1,0.80006,0.80757,0.837308916,0.843032964,0.832440141,0.841063023,0.798849858,0.808725899,0.885235869,0.896582312,0.795564372,0.804559094,0.798849858,0.808725899
97,LogisticRegression,surf100,64,1,1,1,1,1,1,0.8282,0.80879,0.85265,1,0.80217,0.85265,0.809028674,0.818321754,0.804431987,0.813165415,0.849091659,0.856211371,0.749228362,0.761377698,0.797000569,0.807343665,0.849091659,0.856211371
98,LogisticRegression,surf50,128,1,1,1,1,1,1,0.78461,0.77355,0.81136,1,0.76603,0.81136,0.754698372,0.765814449,0.768640143,0.778463032,0.806084342,0.816642931,0.665332803,0.680121742,0.744334893,0.755606062,0.806084342,0.816642931
99,LogisticRegression,surf50,256,1,1,1,1,1,1,0.81239,0.78737,0.81893,1,0.79139,0.81893,0.803500413,0.821285912,0.77763686,0.797110615,0.805850384,0.825967798,0.807564368,0.822738662,0.781610441,0.801186183,0.805850384,0.825967798
100,LogisticRegression,surf50,512,1,1,1,1,1,1,0.81666,0.81294,0.812,1,0.80016,0.812,0.797742129,0.810180948,0.783263399,0.796132199,0.79706153,0.810696046,0.801075025,0.81677346,0.775809387,0.788787753,0.79706153,0.810696046
101,LogisticRegression,surf50,64,1,1,1,1,1,1,0.79786,0.79096,0.82462,1,0.7839,0.82462,0.768429021,0.78285303,0.785538534,0.796387873,0.818032563,0.831209861,0.673174472,0.691977043,0.761276333,0.775003599,0.818032563,0.831209861
102,LogisticRegression,surf0,1024,1,1,1,1,1,1,0.85897,0.84988,0.87045,1,0.84392,0.87045,0.836534279,0.845397345,0.828029046,0.835860736,0.853682652,0.86274159,0.806181853,0.820666632,0.820595432,0.829584585,0.853682652,0.86274159
103,LogisticRegression,surf0,128,1,1,1,1,1,1,0.79572,0.78424,0.8284,1,0.78263,0.8284,0.791305166,0.800147825,0.779855405,0.788636658,0.823495432,0.83332275,0.735378945,0.744924085,0.778165769,0.787110115,0.823495432,0.83332275
104,LogisticRegression,surf0,256,1,1,1,1,1,1,0.7923,0.81161,0.84128,1,0.78382,0.84128,0.785404194,0.799211191,0.808030418,0.81520801,0.836049869,0.846525888,0.68841094,0.710073909,0.777305651,0.790344866,0.836049869,0.846525888
105,LogisticRegression,surf0,512,1,1,1,1,1,1,0.7923,0.81161,0.84128,1,0.78382,0.84128,0.785404194,0.799211191,0.808030418,0.81520801,0.836049869,0.846525888,0.68841094,0.710073909,0.777305651,0.790344866,0.836049869,0.846525888
106,LogisticRegression,surf0,64,1,1,1,1,1,1,0.78589,0.77681,0.79886,1,0.76265,0.79886,0.780433697,0.791361175,0.771042727,0.782589752,0.792643352,0.805083921,0.739710593,0.755743953,0.755978732,0.769336025,0.792643352,0.805083921
107,LogisticRegression,orb,128,1,1,1,1,1,1,0.73015,0.73944,0.77083,1,0.70514,0.77083,0.705181661,0.723389768,0.731731363,0.747151143,0.762890599,0.778776067,0.613387391,0.636612609,0.695961705,0.714325428,0.762890599,0.778776067
108,LogisticRegression,orb,256,1,1,1,1,1,1,0.73174,0.72566,0.74583,0.99166,0.6798,0.74583,0.689866084,0.70378471,0.721980939,0.729346067,0.739670077,0.75199659,0.597000027,0.61966664,0.673005923,0.686694464,0.739670077,0.75199659
109,LogisticRegression,orb,64,1,1,1,1,1,1,0.74365,0.7502,0.78333,1,0.71927,0.78333,0.71834947,0.737206086,0.743102731,0.757315739,0.775862703,0.790803964,0.638491335,0.661508665,0.709613005,0.728942837,0.775862703,0.790803964
110,LogisticRegression,brisk,128,1,1,1,1,1,1,0.72941,0.67079,0.697,0.99166,0.67245,0.697,0.723264589,0.73555894,0.661603475,0.6799823,0.689186678,0.705813322,0.767673743,0.782326257,0.663686957,0.681218186,0.689186678,0.705813322
111,LogisticRegression,brisk,256,1,1,1,1,1,1,0.75294,0.75271,0.73333,0.99166,0.7144,0.73333,0.737823642,0.756294005,0.742565808,0.76286959,0.724005954,0.742660713,0.754928265,0.778405068,0.705181113,0.723798488,0.724005954,0.742660713
112,LogisticRegression,brisk,64,1,1,1,1,1,1,0.74117,0.733,0.682,0.99166,0.6767,0.682,0.73384473,0.748508211,0.723989444,0.742151083,0.675175748,0.689824252,0.814549291,0.835450709,0.668727702,0.68468234,0.675175748,0.689824252
113,LogisticRegression,kaze,128,1,1,1,1,1,1,0.74365,0.7502,0.78333,1,0.71927,0.78333,0.71834947,0.737206086,0.743102731,0.757315739,0.775862703,0.790803964,0.638491335,0.661508665,0.709613005,0.728942837,0.775862703,0.790803964
114,LogisticRegression,kaze,256,1,1,1,1,1,1,0.78713,0.78873,0.7605,0.99166,0.70371,0.7605,0.783069953,0.790444753,0.781596321,0.795551098,0.697096275,0.710037058,0.902464133,0.914202534,0.696520628,0.709277607,0.697096275,0.710037058
115,LogisticRegression,kaze,64,1,1,1,1,1,1,0.787,0.76644,0.7,0.99166,0.7613,0.7,0.782339592,0.792660408,0.760640743,0.772250255,0.774956944,0.785043056,0.793382316,0.806617684,0.756024145,0.766594468,0.774956944,0.785043056
116,LogisticRegression,akaze,128,1,1,1,1,1,1,0.78713,0.7824,0.79219,1,0.75899,0.79219,0.774126144,0.787638562,0.77141992,0.781014867,0.787005521,0.797388418,0.753831902,0.774955977,0.752377696,0.765610383,0.787005521,0.797388418
117,LogisticRegression,akaze,256,1,1,1,1,1,1,0.78713,0.78873,0.7605,0.99166,0.70371,0.7605,0.783321421,0.790693285,0.781695823,0.79566112,0.697509069,0.710424264,0.902464133,0.914202534,0.697079427,0.709806572,0.697509069,0.710424264
118,LogisticRegression,akaze,64,1,1,1,1,1,1,0.787,0.76644,0.7,0.99166,0.7613,0.7,0.782339592,0.792660408,0.760640743,0.772250255,0.774956944,0.785043056,0.793382316,0.806617684,0.756024145,0.766594468,0.774956944,0.785043056
119,RandomForest,sift,128,1,1,1,1,1,1,0.8666,0.89732,0.90833,0.90833,0.89173,0.90833,0.863185468,0.873639929,0.855856586,0.867240325,0.851579425,0.862503908,0.87017214,0.883661193,0.84459787,0.85581984,0.851579425,0.862503908
120,RandomForest,sift,256,1,1,1,1,1,1,0.86666,0.8646,0.862,0.89166,0.85489,0.862,0.8320083,0.847864715,0.820675025,0.837438882,0.817921272,0.834745395,0.85603364,0.87196636,0.813190851,0.830308059,0.817921272,0.834745395
121,RandomForest,sift,64,1,1,1,1,1,1,0.91111,0.91055,0.91666,0.90833,0.90124,0.91666,0.877573044,0.887506321,0.874508442,0.884718542,0.87280203,0.884364636,0.884227642,0.896105691,0.86266111,0.873884656,0.87280203,0.884364636
122,RandomForest,surf,128,1,1,1,1,1,1,0.88174,0.89006,0.86666,0.90833,0.86049,0.86666,0.85770572,0.867675232,0.857553615,0.86762792,0.831609802,0.841306865,0.879204996,0.893961671,0.832414178,0.84228513,0.831609802,0.841306865
123,RandomForest,surf,256,1,1,1,1,1,1,0.8761,0.86245,0.85833,0.91666,0.85179,0.85833,0.852135187,0.864467988,0.834882667,0.848222347,0.832908109,0.847925224,0.893624091,0.904042576,0.82563364,0.839461758,0.832908109,0.847925224
124,RandomForest,surf,64,1,1,1,1,1,1,0.90793,0.89805,0.91666,0.93333,0.89361,0.91666,0.875144682,0.885506112,0.862914148,0.874693478,0.873299694,0.885200306,0.885405617,0.897927716,0.854046783,0.866045357,0.873299694,0.885200306
125,RandomForest,surf100,128,1,1,1,1,1,1,0.9,0.94339,0.95416,0.95833,0.944,0.95416,0.91478587,0.922650028,0.904065677,0.912671203,0.908246931,0.917942463,0.927238012,0.933474109,0.903276149,0.912411254,0.908246931,0.917942463
126,RandomForest,surf100,256,1,1,1,1,1,1,0.90341,0.90893,0.89128,0.95757,0.8849,0.89128,0.866903629,0.875207482,0.858982143,0.869494402,0.833725219,0.845123266,0.92625438,0.934109256,0.835786743,0.846230477,0.833725219,0.845123266
127,RandomForest,surf100,64,1,1,1,1,1,1,0.9047,0.89404,0.90795,0.93333,0.8898,0.90795,0.886588427,0.891796188,0.862129708,0.870585821,0.868082834,0.877348985,0.900370091,0.905493546,0.861031558,0.869617746,0.868082834,0.877348985
128,RandomForest,surf50,128,1,1,1,1,1,1,0.89786,0.89106,0.88295,0.94924,0.8801,0.88295,0.838839034,0.84860541,0.824858194,0.836312422,0.809692954,0.821587349,0.900786483,0.91044079,0.808235869,0.819345175,0.809692954,0.821587349
129,RandomForest,surf50,256,1,1,1,1,1,1,0.85667,0.89847,0.87916,0.96666,0.8837,0.87916,0.872641643,0.881717331,0.863800639,0.874038372,0.846832002,0.858849816,0.920981701,0.928381936,0.846919144,0.857947507,0.846832002,0.858849816
130,RandomForest,surf50,512,1,1,1,1,1,1,0.84567,0.85562,0.79629,0.98148,0.8059,0.79629,0.814684138,0.828278825,0.804605713,0.823255188,0.764903739,0.781855521,0.912508222,0.922862149,0.771298721,0.789242452,0.764903739,0.781855521
131,RandomForest,surf50,64,1,1,1,1,1,1,0.8923,0.88315,0.88295,0.92,0.87576,0.88295,0.843295577,0.852721518,0.827843456,0.839128655,0.816376232,0.827093465,0.890463702,0.900809025,0.816034057,0.826397671,0.816376232,0.827093465
132,RandomForest,surf0,1024,1,1,1,1,1,1,0.86666,0.88881,0.82,0.99166,0.83789,0.82,0.836398344,0.8470461,0.86028792,0.871732837,0.773948948,0.788884385,0.959295029,0.965371638,0.784737995,0.800049861,0.773948948,0.788884385
133,RandomForest,surf0,128,1,1,1,1,1,1,0.90341,0.9115,0.87,0.95833,0.87977,0.87,0.874030873,0.884140067,0.869063169,0.881155327,0.8397026,0.851380734,0.921542782,0.930957218,0.848597367,0.86005509,0.8397026,0.851380734
134,RandomForest,surf0,256,1,1,1,1,1,1,0.88333,0.89947,0.87083,0.94924,0.86783,0.87083,0.85862488,0.867845205,0.869654793,0.879781624,0.830122067,0.841400661,0.906759143,0.919619645,0.83132178,0.842222509,0.830122067,0.841400661
135,RandomForest,surf0,512,1,1,1,1,1,1,0.88247,0.85882,0.85795,0.96666,0.84994,0.85795,0.849364732,0.859780567,0.813919366,0.83298984,0.793561036,0.812310176,0.911807713,0.919934711,0.796836427,0.815577653,0.793561036,0.812310176
136,RandomForest,surf0,64,1,1,1,1,1,1,0.89572,0.88794,0.87878,0.92424,0.87303,0.87878,0.863539338,0.871802543,0.852581389,0.863325279,0.842197933,0.851294491,0.880266612,0.894718236,0.836412905,0.846506381,0.842197933,0.851294491
137,RandomForest,orb,128,1,1,1,1,1,1,0.87222,0.8716,0.85833,0.93333,0.85453,0.85833,0.8416409,0.85204164,0.833690361,0.845102282,0.820195697,0.832387637,0.882504377,0.894995623,0.814015513,0.825475798,0.820195697,0.832387637
138,RandomForest,orb,256,1,1,1,1,1,1,0.8412,0.82411,0.81666,0.89166,0.80851,0.81666,0.801769226,0.812532362,0.786907874,0.797939865,0.779686103,0.79214723,0.845278388,0.860054945,0.769117803,0.780657059,0.779686103,0.79214723
139,RandomForest,orb,64,1,1,1,1,1,1,0.86031,0.86346,0.87,0.89332,0.84569,0.87,0.83140951,0.845161918,0.826258172,0.841622569,0.828507238,0.842159429,0.837819192,0.856847475,0.808336298,0.824143529,0.828507238,0.842159429
140,RandomForest,brisk,128,1,1,1,1,1,1,0.81764,0.80375,0.76583,0.91666,0.77102,0.76583,0.78014836,0.79067517,0.744905062,0.760764029,0.712260208,0.726256459,0.874510421,0.885322912,0.71367568,0.728493827,0.712260208,0.726256459
141,RandomForest,brisk,256,1,1,1,1,1,1,0.82366,0.80456,0.73333,0.92,0.73876,0.73333,0.771282464,0.782364595,0.754203674,0.769780187,0.714565577,0.726017756,0.85053893,0.864627737,0.719057613,0.731013488,0.714565577,0.726017756
142,RandomForest,brisk,64,1,1,1,1,1,1,0.82352,0.82002,0.787,0.9363,0.78874,0.787,0.789208097,0.800556609,0.763465925,0.778260433,0.740865877,0.75365079,0.856297016,0.869536318,0.741126936,0.754755895,0.740865877,0.75365079
143,RandomForest,kaze,128,1,1,1,1,1,1,0.84786,0.85537,0.82,0.90833,0.81044,0.82,0.81712592,0.826711687,0.800522625,0.809991954,0.798314303,0.809685697,0.857262435,0.871070899,0.781448512,0.790813827,0.798314303,0.809685697
144,RandomForest,kaze,256,1,1,1,1,1,1,0.82564,0.83039,0.79583,0.9054,0.7932,0.79583,0.793159977,0.803139169,0.784494641,0.796134993,0.755073326,0.766843341,0.871530266,0.885969734,0.746399636,0.755988189,0.755073326,0.766843341
145,RandomForest,kaze,64,1,1,1,1,1,1,0.85256,0.83001,0.80416,0.9067,0.81094,0.80416,0.82288575,0.837131344,0.798832555,0.819828343,0.764159525,0.785423808,0.874880134,0.890619866,0.772539723,0.793351121,0.764159525,0.785423808
146,RandomForest,akaze,128,1,1,1,1,1,1,0.82867,0.84436,0.79128,0.90757,0.7933,0.79128,0.776733494,0.790935623,0.755374584,0.773958299,0.721438612,0.736278055,0.8538976,0.873935733,0.716320569,0.73375543,0.721438612,0.736278055
147,RandomForest,akaze,256,1,1,1,1,1,1,0.84007,0.82663,0.83462,0.90833,0.81217,0.83462,0.810134108,0.820123245,0.780075032,0.791035013,0.787645746,0.800916375,0.840783186,0.851141057,0.774742035,0.786783752,0.787645746,0.800916375
148,RandomForest,akaze,64,1,1,1,1,1,1,0.84044,0.83371,0.79962,0.91666,0.79862,0.79962,0.789381968,0.80041215,0.769660969,0.785335068,0.724106751,0.738135673,0.881584306,0.892900543,0.728497168,0.742980935,0.724106751,0.738135673
